treat,age,educ,race,married,nodegree,re74,re75,re78,black,hispan,white,distance,weights,subclass
1,22,9,hispan,0,1,0,0,3595.894,0,1,0,0.2246342415700625,1,1
1,30,12,black,0,0,0,0,24909.45,1,0,0,0.6782438795380448,1,2
1,27,11,black,0,1,0,0,7506.146,1,0,0,0.7763240811575091,1,3
1,22,9,black,0,1,0,0,4056.494,1,0,0,0.699069903298201,1,4
1,32,11,black,0,1,0,0,8472.158,1,0,0,0.789723110101419,1,5
1,22,16,black,0,0,0,0,2164.022,1,0,0,0.7798382459029441,1,6
1,33,12,white,1,0,0,0,12418.07,0,0,1,0.04292461476282886,1,7
1,21,13,black,0,0,0,0,17094.64,1,0,0,0.6824440011586322,1,8
1,19,10,black,0,1,0,0,3228.503,1,0,0,0.7224903598163331,1,9
1,27,13,black,0,0,0,0,14581.86,1,0,0,0.7025956155434309,1,10
1,23,10,black,0,1,0,0,7693.4,1,0,0,0.7349641629311585,1,11
1,40,12,black,0,0,0,0,10804.32,1,0,0,0.7116648917101057,1,12
1,26,12,black,0,0,0,0,10747.35,1,0,0,0.6643198080096723,1,13
1,23,11,black,0,1,0,0,0,1,0,0,0.7651749202388259,1,14
1,41,14,white,0,0,0,0,5149.501,0,0,1,0.13901525209250784,1,15
1,38,9,white,0,1,0,0,6408.95,0,0,1,0.12238224341971922,1,16
1,18,10,black,0,1,0,0,11163.17,1,0,0,0.7193160111098151,1,17
1,25,11,black,0,1,0,0,9897.049,1,0,0,0.7707971302602822,1,18
1,27,10,hispan,0,1,0,0,11142.87,0,1,0,0.26920316360212293,1,19
1,25,11,black,1,1,0,0,1574.424,1,0,0,0.5940429932588438,1,20
1,25,12,black,0,0,0,0,3191.753,1,0,0,0.660792465529842,1,21
1,42,14,black,0,0,0,0,20505.93,1,0,0,0.7786215900687946,1,22
1,23,12,black,1,0,0,0,5911.551,1,0,0,0.4509483495607008,1,23
1,24,10,black,0,1,0,0,0,1,0,0,0.7380259937920476,1,24
1,19,9,white,0,1,0,0,13188.83,0,0,1,0.0936529636051863,1,25
1,18,8,hispan,1,1,0,0,2787.96,0,1,0,0.09150549533853726,1,26
1,25,11,black,1,1,0,0,0,1,0,0,0.5940429932588438,1,27
1,31,11,black,1,1,0,0,8087.487,1,0,0,0.6166532316275092,1,28
1,18,11,black,0,1,0,0,0,1,0,0,0.7507054454635902,1,29
1,25,12,black,0,0,0,0,2348.973,1,0,0,0.660792465529842,1,30
1,37,9,black,0,1,0,0,1067.506,1,0,0,0.7464048038597685,1,31
1,41,4,black,1,1,0,0,7284.986,1,0,0,0.37847865745948134,1,32
1,22,11,white,0,1,0,0,1048.432,0,0,1,0.1301219169013492,1,33
1,35,10,black,0,1,0,0,4666.236,1,0,0,0.7701718012954628,1,34
1,27,11,black,0,1,0,0,549.2984,1,0,0,0.7763240811575091,1,35
1,29,4,black,0,1,0,0,762.9146,1,0,0,0.5366287268477089,1,36
1,27,11,black,0,1,0,0,0,1,0,0,0.7763240811575091,1,37
1,23,7,white,0,1,0,0,0,0,0,1,0.07382733180955343,1,38
1,45,5,black,1,1,0,0,8546.715,1,0,0,0.432515467276165,1,39
1,29,13,black,0,0,0,0,7479.656,1,0,0,0.7091465896493573,1,40
1,27,9,black,0,1,0,0,0,1,0,0,0.7154001944010605,1,41
1,25,11,white,0,1,0,0,18783.35,0,0,1,0.13557377322215056,1,42
1,22,12,black,0,0,0,0,18678.08,1,0,0,0.6501040246527554,1,43
1,21,9,black,0,1,0,0,0,1,0,0,0.6957404745509468,1,44
1,40,11,black,0,1,0,0,23005.6,1,0,0,0.809917433897946,1,45
1,22,11,black,0,1,0,0,6456.697,1,0,0,0.7623282097547328,1,46
1,38,12,white,0,0,0,0,4941.849,0,0,1,0.10034129925933445,1,47
1,27,13,black,0,0,0,0,0,1,0,0,0.7025956155434309,1,48
1,38,11,black,0,1,0,0,0,1,0,0,0.8050120729757795,1,49
1,23,8,hispan,0,1,0,0,3881.284,0,1,0,0.20030468221678446,1,50
1,26,11,black,0,1,0,0,17230.96,1,0,0,0.773572533100363,1,51
1,21,12,white,0,0,0,0,8048.603,0,0,1,0.07859089296539468,1,52
1,25,8,black,0,1,0,0,0,1,0,0,0.6745631970731276,1,53
1,25,11,black,0,1,0,0,0,1,0,0,0.7707971302602822,1,54
1,44,11,black,0,1,0,0,0,1,0,0,0.8194435523186767,1,55
1,25,12,white,0,0,0,0,5587.503,0,0,1,0.08328409463736298,1,56
1,25,10,black,0,1,0,0,0,1,0,0,0.7410649146518766,1,57
1,31,9,hispan,0,1,0,0,26817.6,0,1,0,0.25032724569673315,1,58
1,24,10,black,0,1,0,0,0,1,0,0,0.7380259937920476,1,59
1,26,10,black,0,1,0,0,9265.788,1,0,0,0.7440808077260052,1,60
1,25,11,black,0,1,0,0,485.2298,1,0,0,0.7707971302602822,1,61
1,43,9,black,0,1,0,0,0,1,0,0,0.7639017648392772,1,62
1,30,11,black,0,1,0,0,0,1,0,0,0.7844353107539713,1,63
1,26,10,black,1,1,2027.999,0,0,1,0,0,0.522387916289579,1,64
1,17,9,hispan,0,1,445.1704,74.34345,6210.67,0,1,0,0.20656996489350332,1,65
1,18,11,black,0,1,858.2543,214.5636,929.8839,1,0,0,0.741205427037324,1,66
1,27,12,black,1,0,3670.872,334.0493,0,1,0,0,0.4062810969502265,1,67
1,21,12,white,0,0,3670.872,334.0494,12558.02,0,0,1,0.0625452859798462,1,68
1,19,10,black,0,1,0,385.2741,8124.715,1,0,0,0.72659994857531085,1,69
1,23,12,black,0,0,5506.308,501.0741,671.3318,1,0,0,0.5663144245677113,1,70
1,29,14,black,0,0,0,679.6734,17814.98,1,0,0,0.7481699814729493,1,71
1,18,10,black,0,1,0,798.9079,9737.154,1,0,0,0.7278556501675203,1,72
1,19,9,black,0,1,0,798.9079,17685.18,1,0,0,0.6980944769043653,1,73
1,27,13,white,1,0,9381.566,853.7225,0,0,0,1,0.024951785013695674,1,74
1,18,11,white,0,1,3678.231,919.5579,4321.705,0,0,1,0.10175694228415813,1,75
1,27,9,black,1,1,0,934.4454,1773.423,1,0,0,0.534840349868149,1,76
1,22,12,black,0,0,5605.852,936.1773,0,1,0,0,0.5663961372523271,1,77
1,23,12,hispan,0,0,9385.74,1117.439,559.4432,0,1,0,0.11300425391066456,1,78
1,28,11,black,0,1,0,1284.079,60307.93,1,0,0,0.7906384927886011,1,79
1,24,11,black,1,1,824.3886,1666.113,4032.708,1,0,0,0.5974384600768663,1,80
1,31,9,black,0,1,0,1698.607,10363.27,1,0,0,0.7456700722863709,1,81
1,23,8,white,1,1,0,1713.15,4232.309,0,0,1,0.04275487449873249,1,82
1,18,10,black,0,1,2143.411,1784.274,11141.39,1,0,0,0.7073581278159483,1,83
1,29,12,black,0,0,10881.94,1817.284,0,1,0,0,0.5114964166191831,1,84
1,26,11,white,0,1,0,2226.266,13385.86,0,0,1,0.15215643893374362,1,85
1,25,12,black,0,0,14426.79,2409.274,0,1,0,0,0.44030795485705565,1,86
1,24,10,black,0,1,4250.402,2421.947,1660.508,1,0,0,0.7026812234096945,1,87
1,46,8,black,0,1,3165.658,2594.723,0,1,0,0,0.7254530062826674,1,88
1,31,12,white,0,0,0,2611.218,2484.549,0,0,1,0.10300088670863343,1,89
1,19,11,black,0,1,2305.026,2615.276,4146.603,1,0,0,0.7488494428698462,1,90
1,27,11,black,0,1,2206.94,2666.274,0,1,0,0,0.7735503052404922,1,91
1,28,10,black,0,1,0,2836.506,3196.571,1,0,0,0.7773765734887264,1,92
1,24,12,black,0,0,13765.75,2842.764,6167.681,1,0,0,0.4538632045970219,1,93
1,42,9,black,1,1,0,3058.531,1294.409,1,0,0,0.6200518959447593,1,94
1,25,13,black,0,0,12362.93,3090.732,0,1,0,0,0.5264635184873085,1,95
1,31,4,black,0,1,8517.589,4023.211,7382.549,1,0,0,0.4457133393249533,1,96
1,24,10,black,1,1,11703.2,4078.152,0,1,0,0,0.39689161578140264,1,97
1,29,10,black,0,1,0,4398.95,0,1,0,0,0.7940850513699517,1,98
1,19,10,white,0,1,0,5324.109,13829.62,0,0,1,0.13895882996033304,1,99
1,19,11,hispan,1,1,5424.485,5463.803,6788.463,0,1,0,0.130900194725972,1,100
1,21,9,black,0,1,6416.47,5749.331,743.6666,1,0,0,0.6623588941236576,1,101
1,26,12,black,1,0,8408.762,5794.831,1424.944,1,0,0,0.39094339312144605,1,102
1,20,9,hispan,0,1,12260.78,5875.049,1358.643,0,1,0,0.13747130888489612,1,103
1,19,10,black,0,1,4121.949,6056.754,0,1,0,0,0.7280399109404135,1,104
1,26,10,black,0,1,25929.68,6788.958,672.8773,1,0,0,0.39388448411709676,1,105
1,28,11,black,0,1,1929.029,6871.856,0,1,0,0,0.8159230085068085,1,106
1,22,12,hispan,1,0,492.2305,7055.702,10092.83,0,1,0,0.12427237592360738,1,107
1,22,12,white,0,0,6759.994,8455.504,12590.71,0,0,1,0.07733179094896325,1,108
1,29,10,hispan,0,1,0,8853.674,5112.014,0,1,0,0.3789711184984701,1,109
1,33,12,black,1,0,20279.95,10941.35,15952.6,1,0,0,0.2870161425041977,1,110
1,25,14,black,1,0,35040.07,11536.57,36646.95,1,0,0,0.1491677807849517,1,111
1,35,9,black,1,1,13602.43,13830.64,12803.97,1,0,0,0.49468085297748987,1,112
1,33,11,black,1,1,14660.71,25142.24,4181.942,1,0,0,0.689629384756234,1,113
0,25,9,black,1,1,14829.69,13776.53,0,1,0,0,0.432900038650998,1,39
0,37,9,black,1,1,13685.48,12756.05,17833.2,1,0,0,0.48672379151838224,1,95
0,20,12,black,0,0,7392.314,12396.19,17765.23,1,0,0,0.6725803395224227,1,69
0,22,14,black,1,0,748.4399,11105.37,18208.55,1,0,0,0.6569696737066468,1,12
0,47,8,black,1,1,9275.169,8543.419,0,1,0,0,0.5086875913296568,1,70
0,36,9,black,1,1,13256.4,8457.484,0,1,0,0,0.4334375646067186,1,86
0,22,13,hispan,0,0,6404.843,7882.79,9453.017,0,1,0,0.20761828055459958,1,65
0,27,12,white,1,0,12270.89,7709.129,7806.829,0,0,1,0.024895989430020627,1,74
0,22,12,black,1,0,9729.719,7372.548,2231.367,1,0,0,0.37356634037556957,1,32
0,25,12,black,1,0,295.8493,6942.871,461.0507,1,0,0,0.5460072767229182,1,80
0,36,12,black,1,0,11040.47,6221.371,7215.739,1,0,0,0.38896236554277996,1,97
0,30,17,black,0,0,17827.37,5546.419,14421.13,1,0,0,0.6385541625775312,1,44
0,26,12,hispan,0,0,7968.338,5109.581,4181.966,0,1,0,0.15472910428199335,1,85
0,37,11,hispan,0,1,615.2098,4713.919,0,0,1,0,0.3841886259168528,1,102
0,47,10,black,1,1,13311.26,4397.032,19330.14,1,0,0,0.46159100203309306,1,84
0,25,12,hispan,1,0,2266.872,4361.226,3020.473,0,1,0,0.10186827259959821,1,75
0,47,10,black,0,1,21918.32,4323.629,19438.02,1,0,0,0.5141124089439132,1,77
0,20,12,black,1,0,2648.929,4273.5,0,1,0,0,0.4487063659656037,1,112
0,28,12,black,0,0,16722.34,4253.806,7314.747,1,0,0,0.4356674676143357,1,96
0,47,11,white,0,1,8060.424,4232.323,3358.873,0,0,1,0.13495941105297754,1,103
0,21,15,white,1,0,6951.479,3879.629,0,0,0,1,0.04304778463003935,1,82
0,20,12,black,0,0,5099.971,3842.032,12718.79,1,0,0,0.6052111381721267,1,21
0,51,11,white,0,1,48.98167,3813.387,1525.014,0,0,1,0.22407936668205225,1,1
0,28,8,hispan,1,1,8305.332,3718.5,0,0,1,0,0.07344016081389367,1,38
0,20,11,black,0,1,0,3480.387,5495.665,1,0,0,0.7891728337135028,1,55
0,19,11,black,0,1,5607.422,3054.29,94.5745,1,0,0,0.7065971376277369,1,62
0,20,11,hispan,0,1,2868.367,2968.355,7403.41,0,1,0,0.26991859736852664,1,19
0,39,10,white,1,1,0,2886,18761.22,0,0,1,0.0779275154584043,1,52
0,19,9,black,0,1,1079.556,2873.468,14344.29,1,0,0,0.7050850095900456,1,46
0,17,7,black,0,1,1054.086,2286.242,1613.677,1,0,0,0.6196130964004708,1,53
0,18,10,black,0,1,311.5234,2284.452,8154.095,1,0,0,0.7390056985059285,1,3
0,28,12,black,0,0,6285.328,2255.806,7310.313,1,0,0,0.5947371607981666,1,43
0,25,14,hispan,1,0,1622.273,2239.694,1892.968,0,1,0,0.12773409141031428,1,100
0,18,9,black,0,1,1183.397,1822.548,803.8833,1,0,0,0.6883105669952511,1,60
0,19,13,white,0,0,2366.794,1709.758,0,0,0,1,0.08238339864733846,1,56
0,19,11,white,0,1,0,1693.645,9853.481,0,0,1,0.13508895917060454,1,99
0,18,11,black,0,1,2068.986,1623.823,20243.38,1,0,0,0.7389774920542226,1,35
0,18,11,white,0,1,1273.523,1532.516,12489.75,0,0,1,0.12212155431421605,1,16
0,18,11,black,0,1,1191.234,1478.806,3683.972,1,0,0,0.7494934120503597,1,6
0,17,10,hispan,0,1,0,1453.742,6918.716,0,1,0,0.2537440583518851,1,58
0,26,12,black,0,0,0,1448.371,0,1,0,0,0.6813570030228051,1,104
0,18,12,black,0,0,1579.169,1408.984,3057.416,1,0,0,0.6267608959713274,1,8
0,18,11,black,0,1,0,1367.806,33.98771,1,0,0,0.7641345878975586,1,45
0,16,10,white,0,1,1026.656,1224.581,6847.785,0,0,1,0.1030217947205548,1,89
0,32,16,black,0,0,17135.75,1031.226,0,1,0,0,0.5616011363099281,1,28
0,17,9,black,0,1,0,981.0968,8900.347,1,0,0,0.6934766264953971,1,29
0,32,15,white,0,0,489.8167,968.5645,7684.178,0,0,1,0.14337078595086483,1,111
0,39,10,black,0,1,844.444,889.7903,701.9201,1,0,0,0.7789115352057466,1,106
0,17,5,black,0,1,96.00407,868.3065,0,1,0,0,0.5394868306567546,1,27
0,27,15,white,0,0,0,857.5645,3392.86,0,0,1,0.1373790500146025,1,15
0,18,11,black,0,1,587.78,841.4516,7933.914,1,0,0,0.7512260418353873,1,79
0,19,13,black,0,0,1714.358,785.9516,9067.33,1,0,0,0.6575572945255497,1,41
0,52,8,black,1,1,5454.599,666,0,1,0,0,0.4917125134747352,1,76
0,18,11,hispan,0,1,0,630.1935,0,0,1,0,0.27975558574885956,1,110
0,16,9,white,0,1,0,485.1774,4112.513,0,0,1,0.09185219758175359,1,26
0,21,9,black,0,1,1030.574,470.8548,1223.558,1,0,0,0.6853114527827406,1,57
0,17,8,black,0,1,0,451.1613,0,1,0,0,0.6517620378556682,1,40
0,24,12,black,1,0,4232.016,320.4677,1273.8,1,0,0,0.3851619840460815,1,105
0,17,9,black,0,1,0,297.1935,54.67588,1,0,0,0.6856523803457897,1,66
0,16,9,black,0,1,0,277.5,3983.951,1,0,0,0.6820137560560069,1,11
0,23,13,black,0,0,172.4155,272.129,582.2243,1,0,0,0.6897068922485293,1,81
0,18,11,white,0,1,131.2709,218.4194,7503.896,0,0,1,0.12338720474691177,1,107
0,23,12,hispan,1,0,0,216.629,0,0,1,0,0.09389349230046042,1,25
0,19,10,black,0,1,1056.045,205.8871,0,1,0,0,0.709313643280621,1,14
0,16,7,black,0,1,133.2301,205.8871,6145.865,1,0,0,0.6051660723497347,1,30
0,16,6,black,0,1,0,44.75806,0,1,0,0,0.5662781217024476,1,94
0,31,12,black,1,0,0,42.96774,11023.84,1,0,0,0.48292497531643586,1,64
0,45,8,black,0,1,3299.405,0,31.03226,1,0,0,0.6916017124918434,1,31
0,22,16,black,0,0,2564.68,0,116.7404,1,0,0,0.7466150345519513,1,92
0,24,12,black,1,0,2355.039,0,2448.593,1,0,0,0.4133582849370925,1,67
0,19,6,black,0,1,1955.348,0,14998.92,1,0,0,0.5427137608341421,1,20
0,19,12,black,0,0,1681.051,0,0,1,0,0,0.610997003635625,1,101
0,19,12,black,0,0,1655.58,0,0,1,0,0,0.6114314470130865,1,13
0,20,9,hispan,0,1,1500.798,0,12618.31,0,1,0,0.2013082395449162,1,50
0,20,10,white,0,1,1412.631,0,6290.682,0,0,1,0.10027829533102506,1,47
0,39,12,white,1,0,1289.198,0,1202.869,0,0,1,0.04301212526560749,1,7
0,17,9,black,0,1,1222.582,0,422.6298,1,0,0,0.662897759813209,1,17
0,24,12,black,0,0,566.2281,0,2284.565,1,0,0,0.6480340165420596,1,87
0,50,5,black,1,1,411.446,0,9166.338,1,0,0,0.4446669914676168,1,93
0,19,9,black,0,1,384.0163,0,0,1,0,0,0.6830833563023223,1,24
0,36,1,black,0,1,348.7495,0,0,1,0,0,0.4373964129579308,1,23
0,16,8,white,0,1,0,0,2559.422,0,0,1,0.07738177114595289,1,108
0,18,10,black,0,1,0,0,2281.61,1,0,0,0.7193160111098151,1,91
0,40,11,black,1,1,0,0,0,1,0,0,0.64961799807498255,1,83
0,16,9,black,0,1,0,0,2158.959,1,0,0,0.6787886108150935,1,72
0,26,14,white,0,0,0,0,6717.745,0,0,1,0.1130308711513227,1,78
0,20,9,black,0,1,0,0,6083.8,1,0,0,0.6923904185709359,1,90
0,20,12,black,0,0,0,0,0,1,0,0,0.6428928858664001,1,73
0,18,11,black,0,1,0,0,0,1,0,0,0.7507054454635902,1,63
0,46,11,black,1,1,0,0,2820.98,1,0,0,0.6708479986340184,1,9
0,17,8,black,0,1,0,0,12760.17,1,0,0,0.646269324755749,1,48
0,34,12,black,1,0,0,0,18716.88,1,0,0,0.4941772811154345,1,36
0,21,13,black,0,0,0,0,17941.08,1,0,0,0.6824440011586322,1,59
0,31,4,hispan,0,1,0,0,1161.493,0,1,0,0.12972390539507783,1,42
0,20,12,black,0,0,0,0,11594.24,1,0,0,0.6428928858664001,1,4
0,55,4,black,0,1,0,0,0,1,0,0,0.6357538763422438,1,113
0,19,11,black,0,1,0,0,16485.52,1,0,0,0.753646379921674,1,49
0,18,11,black,0,1,0,0,7146.286,1,0,0,0.7507054454635902,1,5
0,48,13,white,1,0,0,0,0,0,0,1,0.06259243174784414,1,68
0,17,10,black,0,1,0,0,0,1,0,0,0.7161196190509348,1,54
0,53,12,white,0,0,0,0,0,0,0,1,0.12381572707836253,1,33
0,17,8,black,0,1,0,0,4520.366,1,0,0,0.646269324755749,1,10
0,27,14,black,0,0,0,0,10122.43,1,0,0,0.7351664848943518,1,37
0,37,8,black,0,1,0,0,648.722,1,0,0,0.714679672958217,1,61
0,17,10,black,0,1,0,0,1053.619,1,0,0,0.7161196190509348,1,18
0,16,10,black,0,1,0,0,1730.418,1,0,0,0.7129013551716252,1,34
0,46,11,black,1,1,0,0,0,1,0,0,0.6708479986340184,1,88
0,18,10,black,0,1,0,0,5306.516,1,0,0,0.7193160111098151,1,51
0,53,12,black,0,0,0,0,0,1,0,0,0.7518653466168448,1,98
0,34,12,black,0,0,0,0,0,1,0,0,0.6918582827478986,1,71
0,51,4,black,0,1,0,0,0,1,0,0,0.6210184843854359,1,2
0,27,10,black,0,1,0,0,7543.794,1,0,0,0.747073562696124,1,22
0,32,5,black,1,1,0,0,187.6713,1,0,0,0.38303230570916547,1,109
